,Town,County,Unnamed: 1,developed,turf & grass,other grass,ag field,deciduous forest,coniferous forest,water,non-forested wetland,forested wetland,tidal wetland,barren,utility row
42,East Haven,New Haven,2015,3585.2,765.6,298.9,208.7,2217.4,72.0,239.4,8.7,90.4,400.3,146.8,14.7
43,East Lyme,New London,2015,4003.5,1293.5,589.6,759.1,12249.0,933.1,739.9,116.4,986.2,271.7,260.6,95.2
44,East Windsor,Hartford,2015,3254.0,1205.1,1180.0,4768.3,4956.5,398.0,409.5,43.9,613.8,0.0,252.2,26.6
45,Eastford,Windham,2015,1247.8,376.7,266.1,1339.8,9774.0,4079.7,434.2,135.4,1066.4,0.0,23.5,35.0
46,Easton,Fairfield,2015,2585.6,1585.4,216.6,790.7,10885.0,631.1,881.3,14.0,657.0,0.0,51.8,11.3
47,Ellington,Tolland,2015,2981.5,2054.9,673.5,5107.2,9239.4,695.4,411.0,55.3,715.6,0.0,99.6,105.5
48,Enfield,Hartford,2015,7339.5,2401.0,849.4,3434.7,5818.9,462.3,668.2,11.7,706.0,0.0,159.5,54.5
49,Essex,Middlesex,2015,1664.4,535.7,173.6,106.5,3330.9,204.0,985.7,15.0,248.1,192.5,52.3,36.1
50,Fairfield,Fairfield,2015,8076.8,4341.5,271.8,320.9,4760.5,379.6,468.5,8.0,348.0,288.7,122.9,45.0
51,Farmington,Hartford,2015,4916.9,2163.6,413.5,773.2,6736.5,1242.5,709.5,36.7,967.5,0.0,291.1,131.8
52,Franklin,New London,2015,1064.8,510.3,456.6,2467.4,6131.3,1040.4,79.9,29.8,599.3,0.0,117.4,92.6
53,Glastonbury,Hartford,2015,6588.8,3114.5,784.6,2644.6,16502.3,1863.7,781.9,23.4,570.7,0.0,236.6,305.3
54,Goshen,Litchfield,2015,1704.8,713.8,252.2,3652.9,11729.6,7606.0,1231.5,250.6,1700.4,0.0,23.2,69.5
55,Granby,Hartford,2015,2634.1,1391.7,448.2,2415.7,12874.1,5502.7,133.7,55.1,670.6,0.0,135.9,36.7
56,Greenwich,Fairfield,2015,9702.7,8066.3,470.3,229.3,8135.0,2636.0,844.8,28.2,768.9,46.0,161.7,0.0
57,Griswold,New London,2015,2988.3,1342.5,441.1,2379.9,11700.9,1194.0,1681.4,254.8,1418.6,0.0,226.7,23.8
58,Groton,New London,2015,6785.4,1764.8,672.1,120.3,8384.4,422.1,967.7,40.1,780.2,286.3,432.4,48.4
59,Guilford,New Haven,2015,5324.0,2048.2,495.1,1493.0,15871.7,1400.5,601.3,86.0,1530.8,1220.1,145.7,74.5
